;ID;Pays;INT02;Q1;Q2;Q3;Q4;Q5;Q6;INT04;V_ACCORD;V6;V7_1;V7_2;V8;V9;V10;V11;V12;V13;V14_1;V14_2;V14_3;V14_4;V14_4_PRE;V14_4_TRANS;V14_1R;V14_2R;V14_3R;V15_1;V15_2;V15_3;V20;V21_1;V21_2;V21_3;V21_4;V21_5;V21_6;V21_7;V21_8;V21_9;V21_10;V21_11;V22_1;V22_2;V22_3;V22_4;V22_5;V23C1;V23C2;V23C3;V23C4;V23C5;V23C6;V23C7;V23C8;V23C9;V23C10;V23C11;V23C12;V23C12O;V23C12O_TRANS;V23C13;V23C13O;V23C13O_TRANS;V23C14;V23C14O;V23C14O_TRANS;V23C15;V23C16;V23C17;V24;V25;V26;V26O;V26O8_TRANS;V27;V28;V29;V30;V31;V31_1;V32;V32_PRE;V33;V34;V35;V35_1;TEST_REVENU;V36;V37;V38;V39;V40;V40_1;V40_2;V41;TEST_FIXE;V42;TEST_MOBILE;V42_1;REMARQUE;REMARQUEO
5365;SU_437;SU;6;1;NA;NA;1;NA;NA; ;1;20000;65;75;3;1;1;4;1;4;1;1;2;2; ;;1;1;2;2;1;1;1;1;1;4;2;1;4;2;2;4;1;1;4;4;2;4;4;0;1;0;0;0;1;0;1;0;0;0;0; ; ;0; ; ;0; ; ;0;0;0;1;1;2; ; ;3;3;NA;1;1965;NA;170; ;3;7;99999998;5;NA;4;1;0;NA;NA;50636;2;0;NA;1;NA;1;1;NA
5366;SU_438;SU;6;1;NA;NA;1;NA;NA; ;1;3000;30;60;2;3;1;4;1;4;1;1;1;2; ;;1;1;2;1;1;1;1;1;1;4;6;3;4;1;1;4;1;3;1;3;2;2;6;0;0;0;0;0;0;0;0;0;0;0;1;Brist på arbeten som kan leda till förlorad inkomst och sedan missbruk. Alltså en ond-cirkel;Lack of work that can lead to lost income and then abuse. That's a vicious circle;1;-; ;1;-; ;0;0;0;1;1;11;Barnen! och dess o familj ska prioriteras.;The children! and its o family should be given priority.;3;3;NA;2;NA;28;170; ;2;1;35000;NA;NA;4;2;0;NA;NA;KRISTIANSTAD;2;0;NA;2;NA;1;1;NA
5367;SU_439;SU;6;1;NA;NA;1;NA;NA; ;1;2500;15;75;1;1;5;1;1;4;2;2;2;1;ERIKSHJäLPEN - SOFFOR SOM GER BORT MöBLER;;1;2;2;1;2;1;1;2;1;4;1;1;4;1;1;4;1;1;4;4;4;4;4;0;1;0;0;0;1;0;0;0;0;0;1;skilsmässor;divorces;0; ; ;0; ; ;0;0;0;1;1;11;par som skiljer sig. (familjer?);The children! and its o family should be given priority.;3;3;NA;2;1955;NA;170; ;4;7;28900;NA;NA;5;1;0;NA;69673; ;3;0;NA;1;NA;1;1;NA
5368;SU_440;SU;6;1;NA;NA;1;NA;NA; ;1;10000;25;25;2;1;4;NA;1;4;1;1;2;1;HAR ARBETAT SOM GODMAN;;1;1;2;2;1;1;1;1;1;4;4;1;4;1;1;4;2;1;3;3;1;4;4;1;0;0;1;0;0;1;0;0;0;0;0; ; ;0; ; ;0; ; ;0;0;0;1;1;11;Alla;All.;2;3;NA;2;1957;NA;170; ;3;5;99999999;6;NA;1;3;7;0;NA;STRöMSUND;3;1;NA;3;NA;1;1;NA
5369;SU_441;SU;6;1;NA;NA;1;1;NA;RV;1;500000;30;75;2;1;3;3;1;4;1;2;2;1;LäRARE FöR NYANLäNDA FöR ATT HJäLPA DERAS SITUATION.;;1;1;1;1;1;1;1;1;1;4;2;1;4;3;2;4;3;2;4;4;4;3;1;1;0;0;0;0;1;1;0;0;0;0;0; ; ;0; ; ;0; ; ;0;0;0;1;1;1; ;;3;3;NA;2;1960;NA;170; ;3;1;28800;NA;NA;5;3;6;2;38795; ;3;1;NA;3;NA;1;1;NA
5370;SU_442;SU;6;1;NA;NA;1;NA;NA; ;1;78000;14;16;1;1;3;1;1;4;1;1;1;1;VET EJ;;1;2;1;1;1;1;1;3;1;3;1;3;4;1;3;2;2;2;1;1;1;1;1;0;1;0;0;0;1;0;0;0;1;0;0; ; ;0; ; ;0; ; ;0;0;0;1;1;8; ;;3;3;NA;2;1949;NA;170; ;5;5;340000;NA;NA;1;2;2;0;NA;HUSBY;2;1;NA;2;NA;1;1;NA
5371;SU_443;SU;6;1;NA;NA;1;NA;NA; ;1;9999998;60;90;1;1;3;3;1;1;1;1;2;1;SKRIVIT UNDER FöR ORGANISATIONER SOM ARBETAR FöR HEMLöSA;;1;1;1;1;1;1;1;1;1;4;4;1;4;1;2;4;1;1;4;2;2;4;1;0;0;0;1;0;0;1;1;0;0;0;0; ; ;0; ; ;0; ; ;0;0;0;6;6;1; ; ;3;3;NA;2;1999;NA;85; ;4;2;99999999;3;NA;5;3;0;NA;NA;43137;1;0;NA;3;NA;1;1;NA
5372;SU_444;SU;6;1;NA;NA;1;NA;NA; ;1;100000;60;80;1;1;2;3;2;4;1;1;2;1;HON MED VäNNER BRUKAR åKA TILL PLATTAN OCH DELA UT KLäDER OCH MAT. (FRIVILLIGHET;;1;2;2;1;1;1;1;1;1;4;1;2;4;2;1;1;1;4;1;1;1;2;6;0;0;0;0;0;1;0;1;0;0;0;1;Hamnat snett någonstans i livet;Gone wrong somewhere in life;0; ; ;0; ; ;0;0;0;1;1;11;Alla. Eftersom att dem har samma behov. man ska inte katorisera människor.;All.;3;3;NA;2;1973;NA;170; ;2;1;75000;12;NA;5;2;1;1;NA;STOCKHOLM;1;0;NA;2;NA;1;1;NA
5373;SU_445;SU;6;1;NA;NA;1;NA;NA; ;1;9999998;60;60;1;3;2;3;1;4;2;1;2;1;ARBETAR SOM KOCJK, SKäNKER MAT TILL HEMLöSA;;1;2;2;3;3;1;1;1;3;4;4;1;4;1;3;3;4;1;4;4;4;4;4;0;0;0;0;0;1;0;1;0;0;1;0; ; ;0; ; ;0; ; ;0;0;0;6;6;11;Alla;All.;3;3;NA;1;1980;NA;170; ;4;1;99999999;10;NA;4;4;2;0;NA;LANDSKRONA;2;0;NA;4;NA;1;1;NA
5374;SU_446;SU;6;1;NA;NA;1;1;NA;RV;1;15000;10;75;2;1;2;3;1;4;1;2;1;1;HE;;1;1;2;2;1;1;5;1;1;4;4;1;2;2;1;1;2;1;4;4;4;4;5;0;0;0;0;0;0;0;0;0;0;0;0; ; ;0; ; ;0; ; ;0;1;0;5;5;12; ; ;4;3;NA;2;9999;77;170; ;11;9;99999999;11;NA;4;2;2;0;NA;DALARNA;2;0;NA;2;NA;1;1;NA
